Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa,SSF,336946365795.332,396810544343.938,1148078019919.25,1369735391918.67,1552537242838.54,1635765918245.35,1739513778367.17,1827031487774.01,1661740323494.26,1545944112397.67,1679945005255.79,1699461795349.79
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/16/2019,,,,,,,,,,,,,,,
